year,American Indian or Alaska Native,Asian,Black or African American,Hispanic or Latino,Native Hawaiian or Pacific Islander,White
2020,36500,69834,47147,54762,101921.0,78707
2019,31593,64052,41832,51329,100893.0,74430
2018,35841,60634,39994,47268,105625.0,69485
2017,32121,58396,37505,43367,,65031
2016,31097,53620,35339,40183,,61210
2015,37257,51968,33139,38740,50885.0,58585
2014,35911,51470,31669,37310,51964.0,56392
2013,35417,52148,30425,36444,49347.0,54380
2012,37298,50376,30459,36835,38950.0,53384
2011,38183,44723,31001,35631,38316.0,51589
