year,sales in trillions
2019,50.003
2019,49.74
2019,57.912
2019,55.371
2019,59.375
2019,58.61
2019,59.081
2019,59.876000000000005
2019,54.574
2019,56.546
2019,55.058
2019,58.452
2020,54.773
2020,55.733000000000004
2020,42.948
2020,28.161
2020,40.687
2020,49.679
2020,52.664
2020,54.107
2020,52.069
2020,54.596000000000004
2020,48.612
2020,49.609
2021,50.741
2021,48.074
2021,62.126000000000005
2021,64.024
2021,69.154
2021,69.163
2021,72.885
2021,69.58800000000001
2021,65.72200000000001
2021,69.027
2021,64.83
2021,69.543
2022,62.002
2022,63.755
2022,74.083
2022,75.364
2022,78.56700000000001
2022,76.718
2022,78.93900000000001
2022,78.20400000000001
2022,74.528
2022,77.253
