city,country,lat,long,state
Abbeville,US,29.971548,-92.11989,LA
Abbeville,US,29.971565,-92.11997,LA
Abbeville,US,29.971548,-92.11989,LA
Abbeville,US,29.971548,-92.11989,LA
Aberdeen,US,35.1141031,-79.3864094,NC
Aberdeen,US,35.1141031,-79.3864094,NC
Aberdeen,US,35.1289851,-79.4313521,NC
Aberdeen,US,39.502758,-76.160188,MD
Abilene,US,38.937126,-97.21406,KS
Abilene,US,32.407596,-99.776035,TX
Abilene,US,32.460945,-99.70601,TX
Abilene,US,32.460945,-99.70601,TX
Abingdon,US,36.71524,-81.93435,VA
Abingdon,US,39.459045,-76.25801,MD
Abingdon,US,36.71524,-81.93435,VA
Acton,US,42.47459,-71.453514,MA
Acworth,US,34.06572282,-84.67719125,GA
Ada,US,34.789433,-96.66658,OK
Adair,US,41.49433,-94.64348,IA
Adair,US,41.49433,-94.64348,IA
Adair,US,41.49493763,-94.64414,IA
Addison,US,32.95445,-96.84137,TX
Addison,US,32.953073,-96.8556232,TX
Addison,US,32.961584,-96.825367,TX
Addison,US,32.953734,-96.836825,TX
Addison,US,32.95445,-96.84161,TX
Addison,US,32.9541,-96.8353,TX
Addison,US,32.953073,-96.8556232,TX
Addison,US,32.951675,-96.83897,TX
Addison,US,32.954878,-96.841302,TX
Addison,US,32.953989,-96.832496,TX
Adel,US,41.617496,-94.01752,IA
Adrian,US,41.880238,-84.0432601,MI
Advance,US,37.10356,-89.9072,MO
Advance,US,37.10356,-89.9072,MO
Agness,US,42.5589,-124.05705,OR
Agoura Hills,US,34.15511,-118.78835,CA
Agoura Hills,US,34.1452139,-118.7788154,CA
Agoura Hills,US,34.144194,-118.755145,CA
Agoura Hills,US,34.144194,-118.755145,CA
Ahoskie,US,36.2544997,-76.9879782,NC
Aiea,US,21.397205,-157.92448,HI
Aiken,US,33.557495,-81.7188,SC
Akron,US,41.09606265,-81.54264882,OH
Akron,US,41.088751,-81.515739,OH
Akron,US,41.037726,-81.526694,OH
Akron,US,41.076324,-81.52156,OH
Akron,US,42.82871,-96.55929,IA
Akron,US,41.037697,-81.52683,OH
Akron,US,41.13771623,-81.63987637,OH
Akron,US,41.135978,-81.637117,OH
Alameda,US,37.767069,-122.240605,CA
Alameda,US,37.76303,-122.242773,CA
Alamogordo,US,32.924408,-105.961174,NM
Alamosa,US,37.46818,-105.8705,CO
Albany,US,42.638668,-73.7884,NY
Albany,US,40.300854,-85.24761,IN
Albany,US,42.69051,-73.86721,NY
Albany,US,31.605214,-84.205745,GA
Albany,US,42.6817576,-73.8055766,NY
Albany,US,36.68132,-85.12516,KY
Albany,US,42.652548,-73.768563,NY
Albany,US,37.890569,-122.296999,CA
Albany,US,44.63544,-123.07969,OR
Albany,US,42.65531,-73.76478,NY
Albany,US,42.63838,-73.7884,NY
Albany,US,42.65319006,-73.78699559,NY
Albany,US,42.712193,-73.81681,NY
Albany,US,42.69051,-73.86721,NY
Albany,US,42.65238,-73.750806,NY
Albany,US,44.64444,-123.1129,OR
Albany,US,37.890569,-122.296999,CA
Albany,US,37.890577,-122.296829,CA
Albany,US,37.8905,-122.29366,CA
Albany,US,42.702202,-73.818893,NY
Albany,US,37.890569,-122.296999,CA
Albany,US,42.702202,-73.818893,NY
Albany,US,42.65305,-73.78691,NY
Albuquerque,US,35.1173559,-106.5345935,NM
Albuquerque,US,35.1470782,-106.5950227,NM
Albuquerque,US,35.0809295,-106.623076,NM
Albuquerque,US,35.077645,-106.584237,NM
Albuquerque,US,35.087207,-106.654887,NM
Albuquerque,US,35.13011,-106.5781,NM
Albuquerque,US,35.0539315,-106.5327604,NM
Albuquerque,US,35.177654,-106.688022,NM
Albuquerque,US,35.185986,-106.68534,NM
Albuquerque,US,35.080862,-106.620654,NM
Albuquerque,US,35.143906,-106.69472,NM
Albuquerque,US,35.087483,-106.618143,NM
Albuquerque,US,35.08008,-106.620447,NM
Albuquerque,US,35.095917,-106.51544,NM
Albuquerque,US,35.085815,-106.64893,NM
Albuquerque,US,35.0812079,-106.659091,NM
Albuquerque,US,35.084633,-106.65118,NM
Albuquerque,US,35.078282,-106.589012,NM
Albuquerque,US,35.095573,-106.6042,NM
Albuquerque,US,35.099939,-106.568979,NM
Albuquerque,US,35.147362,-106.665083,NM
Albuquerque,US,35.087491,-106.579113,NM
Albuquerque,US,35.14389,-106.64063,NM
Albuquerque,US,35.084633,-106.65118,NM
Albuquerque,US,35.058466,-106.605575,NM
Albuquerque,US,35.09255,-106.53278,NM
Albuquerque,US,35.074442,-106.568434,NM
Albuquerque,US,35.079291,-106.6217,NM
Albuquerque,US,35.085781,-106.649108,NM
Albuquerque,US,35.07848,-106.592155,NM
Albuquerque,US,35.13067,-106.56969,NM
Albuquerque,US,35.079291,-106.6217,NM
Albuquerque,US,35.1173559,-106.5345935,NM
Albuquerque,US,35.075039,-106.558951,NM
Albuquerque,US,35.138584,-106.53208,NM
Albuquerque,US,35.143745,-106.593742,NM
Albuquerque,US,35.073958,-106.551759,NM
Albuquerque,US,35.087483,-106.618143,NM
Albuquerque,US,35.129316,-106.531613,NM
