label,"Total Population"
2021,711463
2020,735538
2019,725508
2018,716340
2017,704869
2016,696273
2015,683328
2014,664540
2013,649270
2012,634965
2011,620250
2010,603012
2009,589011
2008,575721
2007,564395
2006,556895
2005,551691
2004,550756
2003,552588
2002,556790
2001,561976
2000,555651
1999,498402
1998,499326
1997,495805
1996,492467
1995,491332
1994,492047
1993,484110
1992,472296
1991,466960
1990,467549
1989,472678
1988,479719
1987,492049
1986,500090
1985,504439
1984,505507
1983,511007
1982,504576
1981,499024
1980,492694
1979,495200
1978,495200
1977,498700
1976,501100
1975,500600
1974,514700
1973,525300
1972,525800
1971,525600
1970,514678
